Secchi Depth (cm) = 0750
Forel Ule Scale = 07
pH Colour Scale = 99
SmartSecchi S/N = A0000001
Latitude (degs N) = 56.46656
Longitude (degs E) = -5.44911
Date = 2023-05-23
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, 415nm, 445nm, 480nm, 515nm, 555nm, 590nm, 630nm, 680nm, Clear, NIR, Resistance 10KTHERM, Temp (deg C) 10KTHERM, Temp (deg C) TMP117
12:30:41, 1018.00, 12.50, 953, 1383, 1855, 2095, 2269, 2369, 2728, 3020, 11861, 4116, 17889.86, 12.46, 11.19
12:30:41, 1017.90, 12.51, 933, 1343, 1802, 2037, 2220, 2322, 2670, 2961, 11593, 4036, 17859.47, 12.50, 11.19
12:30:41, 1018.10, 12.51, 934, 1366, 1831, 2061, 2298, 2377, 2763, 3053, 12123, 4197, 17889.86, 12.46, 11.17
12:30:42, 1017.90, 12.51, 987, 1461, 1947, 2217, 2469, 2554, 3002, 3279, 13368, 4640, 17844.31, 12.51, 11.17
12:30:42, 1017.90, 12.50, 1000, 1477, 1958, 2241, 2465, 2564, 2995, 3295, 13352, 4618, 17874.66, 12.48, 11.17
12:30:43, 1017.90, 12.50, 981, 1453, 1928, 2207, 2383, 2478, 2901, 3175, 12653, 4339, 17889.86, 12.46, 11.14
12:30:43, 1017.90, 12.51, 952, 1393, 1858, 2119, 2292, 2386, 2779, 3052, 12151, 4210, 17859.47, 12.50, 11.14
12:30:44, 1018.10, 12.51, 941, 1376, 1840, 2087, 2287, 2372, 2760, 3043, 11947, 4133, 17844.31, 12.51, 11.14
12:30:44, 1018.00, 12.51, 937, 1378, 1834, 2091, 2306, 2396, 2807, 3071, 12151, 4183, 17874.66, 12.48, 11.14
12:30:44, 1018.00, 12.51, 945, 1407, 1867, 2141, 2333, 2406, 2848, 3096, 12519, 4327, 17889.86, 12.46, 11.13
12:30:45, 1017.70, 12.50, 925, 1392, 1838, 2125, 2322, 2402, 2857, 3091, 12746, 4386, 17889.86, 12.46, 11.13
12:30:45, 1017.90, 12.50, 970, 1451, 1912, 2206, 2404, 2512, 2929, 3226, 12547, 4270, 17859.47, 12.50, 11.13
12:30:46, 1017.90, 12.50, 983, 1442, 1917, 2189, 2367, 2474, 2861, 3162, 12324, 4259, 17859.47, 12.50, 11.12
12:30:46, 1017.90, 12.51, 965, 1399, 1873, 2123, 2311, 2414, 2786, 3079, 12140, 4223, 17889.86, 12.46, 11.12
12:30:46, 1018.00, 12.51, 945, 1383, 1848, 2098, 2318, 2394, 2815, 3076, 12452, 4326, 17874.66, 12.48, 11.13
12:30:47, 1017.80, 12.51, 955, 1446, 1909, 2199, 2423, 2510, 2973, 3244, 12790, 4326, 17859.47, 12.50, 11.13
12:30:47, 1017.80, 12.51, 114, 150, 204, 230, 195, 245, 397, 510, 987, 427, 17889.86, 12.46, 11.13
12:30:48, 1016.40, 12.45, 33, 39, 50, 58, 31, 48, 87, 134, 346, 217, 17889.86, 12.46, 11.12
12:30:48, 1015.40, 12.42, 17, 19, 22, 24, 25, 37, 70, 110, 377, 263, 17874.66, 12.48, 11.12
12:30:49, 1015.20, 12.41, 16, 18, 22, 24, 25, 38, 77, 120, 377, 241, 17889.86, 12.46, 11.13
12:30:49, 1015.40, 12.42, 17, 20, 23, 26, 26, 42, 86, 131, 369, 229, 17859.47, 12.50, 11.13
12:30:49, 1015.50, 12.43, 15, 17, 20, 23, 23, 38, 77, 118, 304, 186, 17874.66, 12.48, 11.13
12:30:50, 1017.00, 12.46, 13, 15, 18, 20, 18, 28, 58, 92, 237, 151, 17889.86, 12.46, 11.16
12:30:50, 1018.00, 12.51, 57, 72, 94, 109, 117, 178, 329, 437, 804, 354, 17859.47, 12.50, 11.16
12:30:51, 1017.70, 12.52, 67, 79, 106, 120, 182, 261, 434, 580, 1008, 433, 17859.47, 12.50, 11.18
12:30:51, 1017.70, 12.52, 127, 150, 211, 227, 278, 369, 580, 757, 1302, 540, 17859.47, 12.50, 11.18
12:30:51, 1017.80, 12.51, 111, 131, 183, 198, 123, 190, 337, 461, 843, 383, 17874.66, 12.48, 11.23
12:30:52, 1018.10, 12.52, 93, 114, 156, 170, 1807, 1880, 2200, 2456, 9811, 3484, 17905.07, 12.44, 11.23
12:30:52, 1018.20, 12.52, 723, 1010, 1337, 1554, 1643, 1786, 2054, 2240, 6294, 2055, 17874.66, 12.48, 11.23
12:30:53, 1018.10, 12.52, 811, 1174, 1534, 1833, 2098, 2298, 2577, 2879, 8998, 2863, 17859.47, 12.50, 11.26
12:30:53, 1018.00, 12.52, 941, 1368, 1835, 2068, 2542, 2629, 3122, 3381, 12883, 4319, 17874.66, 12.48, 11.26
12:30:54, 1018.00, 12.52, 937, 1394, 1811, 2158, 2529, 2733, 3112, 3475, 13633, 4510, 17905.07, 12.44, 11.26
12:30:54, 1017.90, 12.52, 959, 1344, 1779, 2053, 2077, 2242, 2502, 2917, 11820, 4315, 17905.07, 12.44, 11.26
12:30:54, 1017.90, 12.52, 972, 1353, 1806, 2068, 2109, 2292, 2549, 2955, 11873, 4256, 17844.31, 12.51, 11.26
12:30:55, 1018.00, 12.52, 1090, 1543, 2039, 2376, 2454, 2651, 3012, 3364, 13025, 4325, 17889.86, 12.46, 11.23
12:30:55, 1017.80, 12.52, 1069, 1583, 2072, 2453, 2745, 2886, 3416, 3673, 13969, 4569, 17874.66, 12.48, 11.23
12:30:56, 1017.70, 12.53, 1057, 1589, 2101, 2441, 2666, 2774, 3273, 3557, 14266, 4895, 17859.47, 12.50, 11.24
12:30:56, 1017.60, 12.53, 1055, 1559, 2069, 2362, 2642, 2772, 3191, 3565, 14155, 4896, 17905.07, 12.44, 11.24
12:30:56, 1017.80, 12.53, 1120, 1639, 2182, 2499, 2798, 2927, 3415, 3759, 15745, 5530, 17844.31, 12.51, 11.24
12:30:57, 1017.70, 12.53, 1193, 1768, 2335, 2710, 2484, 2592, 3051, 3346, 15274, 5443, 17874.66, 12.48, 11.23
12:30:57, 1017.90, 12.54, 1025, 1503, 1986, 2305, 2752, 2898, 3371, 3713, 16716, 5885, 17889.86, 12.46, 11.23
12:30:58, 1018.00, 12.54, 1061, 1552, 2054, 2384, 2753, 2908, 3377, 3719, 16594, 5843, 17889.86, 12.46, 11.24
12:30:58, 1018.00, 12.54, 1142, 1698, 2238, 2607, 2876, 3028, 3519, 3882, 16527, 5791, 17874.66, 12.48, 11.24
12:30:59, 1018.20, 12.54, 1152, 1711, 2250, 2626, 2756, 2913, 3377, 3733, 16084, 5647, 17905.07, 12.44, 11.23
12:30:59, 1018.00, 12.55, 1103, 1617, 2134, 2480, 2647, 2801, 3238, 3586, 15965, 5616, 17905.07, 12.44, 11.23
12:30:59, 1018.20, 12.55, 1002, 1465, 1939, 2257, 2494, 2623, 3064, 3342, 15453, 5450, 17920.31, 12.43, 11.23
12:31:00, 1018.10, 12.55, 988, 1424, 1897, 2195, 2415, 2534, 2954, 3242, 14703, 5264, 17889.86, 12.46, 11.23
12:31:00, 1018.10, 12.56, 1001, 1430, 1907, 2196, 2311, 2454, 2803, 3115, 14081, 4944, 17874.66, 12.48, 11.23
12:31:01, 1018.10, 12.56, 918, 1322, 1754, 2034, 2075, 2187, 2529, 2792, 12473, 4366, 17889.86, 12.46, 11.23
12:31:01, 1018.40, 12.56, 940, 1358, 1804, 2082, 2145, 2255, 2608, 2882, 11736, 4050, 17889.86, 12.46, 11.23
12:31:01, 1018.30, 12.57, 836, 1209, 1602, 1857, 2041, 2153, 2480, 2743, 10389, 3476, 17859.47, 12.50, 11.23
12:31:02, 1029.90, 12.56, 700, 1015, 1348, 1554, 1912, 2019, 2287, 2569, 7760, 1698, 17905.07, 12.44, 11.23
12:31:02, 1049.30, 12.51, 321, 471, 637, 775, 1054, 1083, 1251, 1312, 2907, 317, 17874.66, 12.48, 11.23
12:31:03, 1061.40, 12.45, 605, 952, 1348, 1584, 1479, 1478, 1630, 1782, 4099, 340, 17859.47, 12.50, 11.16
12:31:03, 1065.50, 12.40, 499, 757, 1087, 1317, 1680, 1708, 1876, 1956, 4468, 329, 17889.86, 12.46, 11.16
12:31:04, 1060.10, 12.35, 685, 1073, 1543, 1836, 2015, 2034, 2287, 2316, 5719, 422, 17905.07, 12.44, 11.16
12:31:04, 1054.70, 12.31, 630, 968, 1383, 1625, 1915, 1933, 2199, 2287, 4334, 346, 17905.07, 12.44, 11.13
12:31:04, 1060.90, 12.27, 817, 1237, 1754, 2091, 2029, 2091, 2324, 2443, 4734, 371, 17920.31, 12.43, 11.13
12:31:05, 1082.00, 12.24, 612, 936, 1356, 1613, 1847, 1882, 2010, 2070, 3785, 231, 17905.07, 12.44, 11.12
12:31:05, 1094.50, 12.21, 568, 914, 1367, 1672, 1708, 1688, 1798, 1745, 3240, 181, 17859.47, 12.50, 11.12
12:31:06, 1094.60, 12.18, 545, 902, 1348, 1643, 1901, 1867, 2025, 1956, 4911, 273, 17920.31, 12.43, 11.12
12:31:06, 1083.40, 12.17, 660, 1072, 1583, 1917, 2139, 2126, 2303, 2291, 5411, 315, 17874.66, 12.48, 11.12
12:31:06, 1070.80, 12.15, 731, 1163, 1700, 2050, 2231, 2241, 2440, 2459, 6540, 431, 17905.07, 12.44, 11.12
12:31:07, 1061.40, 12.14, 781, 1217, 1754, 2091, 2208, 2248, 2485, 2559, 7323, 573, 17829.17, 12.53, 11.12
12:31:07, 1063.40, 12.12, 755, 1159, 1661, 1949, 2049, 2085, 2292, 2397, 7665, 653, 17874.66, 12.48, 11.12
12:31:08, 1060.60, 12.12, 697, 1089, 1567, 1857, 2009, 2035, 2247, 2307, 8423, 707, 17905.07, 12.44, 11.13
12:31:08, 1045.80, 12.11, 729, 1122, 1604, 1882, 2083, 2130, 2349, 2504, 8792, 845, 17905.07, 12.44, 11.13
12:31:09, 1025.50, 12.10, 852, 1289, 1786, 2091, 2512, 2657, 2929, 3248, 10077, 1366, 17905.07, 12.44, 11.13
12:31:09, 1017.80, 12.04, 1220, 1778, 2344, 2745, 2900, 3100, 3503, 3931, 10055, 3038, 17889.86, 12.46, 11.12
12:31:09, 1017.70, 12.03, 1238, 1756, 2338, 2703, 2789, 2904, 3389, 3724, 10308, 3694, 17905.07, 12.44, 11.12
12:31:10, 1017.70, 12.03, 976, 1353, 1815, 2082, 2324, 2455, 2863, 3142, 10811, 3867, 17905.07, 12.44, 11.13
12:31:10, 1017.50, 12.03, 1200, 1745, 2303, 2656, 2637, 2795, 3225, 3587, 13023, 4373, 17905.07, 12.44, 11.13
12:31:11, 1017.70, 12.03, 949, 1414, 1883, 2147, 2425, 2507, 2940, 3289, 14519, 5433, 17889.86, 12.46, 11.13
12:31:11, 1017.40, 12.04, 1141, 1626, 2152, 2474, 2454, 2647, 2960, 3408, 10590, 3659, 17889.86, 12.46, 11.10
12:31:11, 1017.80, 12.09, 883, 1272, 1660, 1929, 1758, 1982, 2103, 2550, 9365, 3197, 17889.86, 12.46, 11.10
12:31:12, 1017.80, 12.10, 215, 314, 407, 469, 1135, 1249, 1408, 1701, 6073, 2144, 17905.07, 12.44, 11.07
12:31:12, 1017.80, 12.12, 655, 983, 1296, 1499, 1703, 1822, 2147, 2443, 9061, 2980, 17905.07, 12.44, 11.07
12:31:13, 1017.70, 12.13, 634, 955, 1240, 1450, 1311, 1387, 1654, 1811, 5150, 1774, 17889.86, 12.46, 11.03
12:31:13, 1017.70, 12.14, 554, 780, 1075, 1204, 1244, 1336, 1594, 1708, 4562, 1513, 17874.66, 12.48, 11.03
12:31:14, 1017.80, 12.16, 380, 551, 742, 848, 933, 992, 1192, 1313, 3745, 1398, 17889.86, 12.46, 11.03
12:31:14, 1017.80, 12.17, 565, 792, 1072, 1188, 1497, 1592, 1873, 2112, 7572, 2684, 17905.07, 12.44, 10.99
12:31:14, 1017.80, 12.18, 893, 1291, 1710, 1959, 1754, 1880, 2161, 2362, 8143, 2605, 17889.86, 12.46, 10.99
12:31:15, 1017.80, 12.19, 421, 552, 770, 834, 525, 572, 609, 754, 1661, 843, 17844.31, 12.51, 10.98
12:31:15, 1017.70, 12.20, 59, 72, 86, 108, 150, 168, 237, 298, 1527, 945, 17950.82, 12.39, 10.98
12:31:16, 1017.60, 12.21, 129, 159, 183, 290, 211, 274, 334, 447, 1825, 1103, 17920.31, 12.43, 10.98
12:31:16, 1017.60, 12.22, 131, 170, 208, 261, 194, 225, 322, 314, 1834, 1031, 17889.86, 12.46, 10.97
12:31:16, 1017.80, 12.23, 65, 74, 85, 151, 125, 148, 229, 187, 1260, 678, 17874.66, 12.48, 10.97
12:31:17, 1017.80, 12.24, 72, 92, 107, 164, 163, 174, 255, 320, 1522, 912, 17889.86, 12.46, 10.96
12:31:17, 1017.70, 12.25, 90, 116, 140, 196, 300, 324, 461, 523, 2512, 1224, 17905.07, 12.44, 10.96
12:31:18, 1017.80, 12.26, 213, 297, 368, 491, 507, 570, 720, 797, 3906, 1604, 17920.31, 12.43, 10.96
12:31:18, 1017.90, 12.26, 238, 337, 415, 554, 551, 611, 774, 895, 4092, 1712, 17920.31, 12.43, 10.95
12:31:19, 1017.90, 12.26, 130, 178, 209, 307, 289, 305, 439, 509, 2391, 1249, 17905.07, 12.44, 10.95
12:31:19, 1017.70, 12.26, 113, 154, 186, 261, 237, 246, 366, 447, 2032, 1112, 17889.86, 12.46, 10.96
12:31:19, 1017.50, 12.26, 97, 129, 159, 202, 214, 227, 304, 426, 1763, 987, 17950.82, 12.39, 10.96
12:31:20, 1017.60, 12.26, 106, 141, 177, 213, 235, 246, 323, 448, 1865, 1013, 17889.86, 12.46, 10.95
12:31:20, 1017.60, 12.27, 113, 150, 191, 227, 232, 245, 326, 457, 1879, 1015, 17905.07, 12.44, 10.95
12:31:21, 1017.70, 12.27, 110, 144, 180, 226, 222, 240, 332, 460, 1883, 1016, 17889.86, 12.46, 10.95
12:31:21, 1017.70, 12.27, 108, 137, 173, 216, 224, 238, 317, 433, 1928, 1054, 17874.66, 12.48, 10.95
12:31:22, 1017.60, 12.27, 101, 133, 169, 210, 220, 229, 320, 413, 1938, 1033, 17920.31, 12.43, 10.95
12:31:22, 1017.70, 12.27, 97, 130, 165, 212, 229, 224, 347, 405, 2117, 1108, 17889.86, 12.46, 10.97
12:31:22, 1017.80, 12.28, 104, 146, 180, 244, 261, 253, 398, 450, 2318, 1223, 17889.86, 12.46, 10.97
12:31:23, 1017.70, 12.28, 106, 143, 175, 235, 247, 253, 370, 463, 2145, 1143, 17889.86, 12.46, 10.97
12:31:23, 1017.70, 12.29, 113, 151, 189, 251, 223, 229, 340, 448, 2043, 1182, 17905.07, 12.44, 10.97
12:31:24, 1017.70, 12.29, 106, 138, 168, 226, 214, 225, 325, 436, 1955, 1167, 17889.86, 12.46, 10.97
12:31:24, 1017.70, 12.29, 79, 103, 126, 156, 147, 157, 211, 319, 1291, 865, 17920.31, 12.43, 10.96
12:31:24, 1017.70, 12.29, 72, 94, 115, 146, 163, 164, 246, 324, 1470, 899, 17920.31, 12.43, 10.96
12:31:25, 1017.70, 12.30, 78, 103, 126, 163, 163, 163, 244, 321, 1445, 876, 17950.82, 12.39, 10.96
12:31:25, 1017.60, 12.29, 84, 111, 140, 170, 206, 224, 285, 391, 1677, 877, 17905.07, 12.44, 10.97
12:31:26, 1017.50, 12.29, 88, 120, 153, 186, 201, 204, 285, 369, 1579, 840, 17905.07, 12.44, 10.97
12:31:26, 1017.50, 12.28, 58, 74, 90, 108, 91, 103, 128, 229, 734, 486, 17935.55, 12.41, 10.97
12:31:27, 1017.30, 12.28, 28, 36, 42, 53, 53, 55, 78, 102, 420, 232, 17905.07, 12.44, 10.97
12:31:27, 1017.90, 12.29, 13, 16, 21, 25, 20, 21, 29, 44, 197, 155, 17935.55, 12.41, 10.97
12:31:27, 1017.90, 12.29, 27, 38, 51, 60, 66, 63, 94, 107, 541, 319, 17889.86, 12.46, 10.97
12:31:28, 1017.80, 12.29, 33, 44, 55, 72, 73, 77, 108, 133, 507, 289, 17905.07, 12.44, 10.97
12:31:28, 1017.70, 12.30, 53, 72, 94, 108, 111, 107, 165, 189, 592, 344, 17905.07, 12.44, 10.97
12:31:29, 1017.80, 12.30, 62, 79, 100, 121, 140, 171, 202, 263, 851, 395, 17920.31, 12.43, 10.97
12:31:29, 1017.90, 12.30, 23, 32, 38, 52, 68, 82, 107, 137, 489, 296, 17905.07, 12.44, 10.96
12:31:29, 1018.00, 12.30, 42, 52, 66, 87, 147, 117, 208, 217, 492, 335, 17905.07, 12.44, 10.96
12:31:30, 1018.10, 12.31, 184, 263, 348, 391, 776, 770, 949, 1094, 2033, 1007, 17935.55, 12.41, 10.96
12:31:30, 1017.40, 12.30, 661, 987, 1298, 1524, 1900, 1974, 2358, 2519, 7417, 2423, 17920.31, 12.43, 10.95
12:31:31, 1017.30, 12.30, 1053, 1531, 2041, 2337, 2600, 2686, 3143, 3481, 12024, 4338, 17889.86, 12.46, 10.95
12:31:31, 1017.30, 12.30, 1069, 1594, 2071, 2431, 2639, 2747, 3210, 3586, 11895, 4312, 17935.55, 12.41, 10.95
12:31:32, 1017.40, 12.30, 1185, 1717, 2278, 2609, 2744, 2857, 3314, 3663, 12280, 4266, 17950.82, 12.39, 10.95
12:31:32, 1017.60, 12.30, 1131, 1635, 2178, 2504, 2676, 2801, 3302, 3573, 12533, 4322, 17950.82, 12.39, 10.95
12:31:32, 1017.10, 12.27, 1080, 1551, 2067, 2402, 1884, 2014, 2497, 2762, 9233, 3376, 17935.55, 12.41, 11.23
12:31:33, 1017.00, 12.26, 420, 563, 734, 885, 704, 797, 1032, 1263, 4487, 2141, 17905.07, 12.44, 11.23
12:31:33, 1017.60, 12.28, 464, 648, 847, 1039, 1509, 1660, 2144, 2445, 6996, 2790, 17950.82, 12.39, 12.27
12:31:34, 1017.50, 12.31, 1200, 1731, 2309, 2681, 2702, 2907, 3525, 3889, 14105, 4780, 17950.82, 12.39, 12.27
12:31:34, 1017.70, 12.31, 1321, 1886, 2523, 2884, 3055, 3180, 3760, 4050, 14717, 5093, 17935.55, 12.41, 12.72
12:31:34, 1018.10, 12.31, 1148, 1682, 2214, 2605, 2864, 3049, 3558, 3893, 16661, 5835, 17920.31, 12.43, 12.72
12:31:35, 1017.90, 12.31, 1070, 1506, 1995, 2321, 2566, 2744, 3088, 3490, 15430, 5601, 17966.10, 12.37, 12.72
12:31:35, 1018.00, 12.31, 989, 1392, 1879, 2134, 2205, 2277, 2729, 2943, 11293, 4209, 17905.07, 12.44, 12.34
12:31:36, 1017.90, 12.30, 899, 1298, 1716, 2031, 1931, 2052, 2423, 2617, 6917, 2317, 17905.07, 12.44, 12.34
12:31:36, 1018.30, 12.30, 1115, 1627, 2120, 2539, 2619, 2766, 3264, 3515, 10342, 3446, 17889.86, 12.46, 12.02
12:31:37, 1018.20, 12.30, 966, 1396, 1831, 2192, 2431, 2534, 3048, 3234, 10136, 3520, 17905.07, 12.44, 12.02
12:31:37, 1018.30, 12.30, 962, 1374, 1832, 2105, 2413, 2540, 2912, 3254, 13631, 5059, 17905.07, 12.44, 12.02
12:31:37, 1018.20, 12.30, 1103, 1571, 2103, 2392, 2395, 2508, 2871, 3244, 15352, 5577, 17889.86, 12.46, 11.73
12:31:38, 1018.10, 12.30, 1137, 1647, 2178, 2530, 2737, 2936, 3350, 3699, 16317, 5633, 17950.82, 12.39, 11.73
12:31:38, 1027.80, 12.30, 1159, 1711, 2251, 2631, 2367, 2487, 2913, 3160, 11529, 3562, 17950.82, 12.39, 11.52
12:31:39, 1017.70, 12.26, 704, 1050, 1423, 1674, 2371, 2439, 2875, 3086, 12695, 3264, 17950.82, 12.39, 11.52
12:31:39, 1018.20, 12.22, 1070, 1572, 2092, 2425, 2604, 2733, 3197, 3437, 14171, 4852, 17920.31, 12.43, 11.23
12:31:39, 1018.40, 12.18, 1018, 1480, 1970, 2282, 2452, 2578, 2998, 3236, 13451, 4592, 17935.55, 12.41, 11.23
12:31:40, 1036.30, 12.16, 762, 1114, 1486, 1727, 1495, 1530, 1802, 1922, 5778, 1005, 17966.10, 12.37, 11.23
12:31:40, 1062.70, 12.13, 804, 1277, 1771, 2123, 1645, 1646, 1882, 1966, 6699, 620, 17920.31, 12.43, 11.16
12:31:41, 1088.90, 12.10, 438, 698, 1010, 1218, 1330, 1280, 1438, 1421, 5725, 427, 17935.55, 12.41, 11.16
12:31:41, 1093.70, 12.05, 474, 773, 1166, 1412, 1717, 1681, 1803, 1756, 5551, 350, 17935.55, 12.41, 11.14
12:31:42, 1080.30, 12.03, 593, 944, 1397, 1691, 1949, 1939, 2098, 2104, 5745, 377, 17920.31, 12.43, 11.14
12:31:42, 1077.90, 12.01, 618, 964, 1420, 1709, 1709, 1712, 1877, 1879, 4111, 263, 17966.10, 12.37, 11.14
12:31:42, 1089.80, 11.99, 653, 1036, 1524, 1831, 1984, 1984, 2127, 2143, 5630, 338, 17920.31, 12.43, 11.13
12:31:43, 1116.60, 11.98, 549, 907, 1361, 1664, 1664, 1627, 1711, 1631, 3593, 194, 17966.10, 12.37, 11.13
12:31:43, 1143.60, 11.97, 355, 582, 918, 1157, 1229, 1180, 1206, 1102, 1991, 107, 17966.10, 12.37, 11.13
12:31:44, 1147.60, 11.96, 376, 636, 1012, 1258, 1588, 1511, 1516, 1399, 3442, 179, 17981.40, 12.36, 11.13
12:31:44, 1129.10, 11.95, 430, 730, 1143, 1404, 1683, 1611, 1638, 1547, 4003, 218, 17935.55, 12.41, 11.13
12:31:45, 1102.70, 11.94, 497, 814, 1264, 1546, 1639, 1583, 1666, 1572, 3889, 228, 17950.82, 12.39, 11.13
12:31:45, 1081.50, 11.94, 525, 853, 1283, 1568, 1861, 1824, 1988, 1926, 5050, 308, 17950.82, 12.39, 11.13
12:31:45, 1076.40, 11.93, 662, 1048, 1537, 1821, 1880, 1883, 2068, 2083, 6468, 463, 17966.10, 12.37, 11.13
12:31:46, 1093.80, 11.92, 631, 1007, 1487, 1775, 2026, 1998, 2181, 2138, 7226, 487, 17935.55, 12.41, 11.13
12:31:46, 1125.00, 11.91, 557, 933, 1419, 1704, 1821, 1750, 1850, 1758, 5916, 367, 17950.82, 12.39, 11.13
12:31:47, 1150.40, 11.90, 433, 746, 1171, 1461, 1401, 1327, 1364, 1217, 3436, 194, 17950.82, 12.39, 11.13
12:31:47, 1138.20, 11.90, 395, 684, 1097, 1362, 1502, 1413, 1438, 1293, 4243, 248, 17950.82, 12.39, 11.13
12:31:47, 1106.80, 11.90, 443, 765, 1190, 1478, 1611, 1543, 1636, 1504, 5272, 321, 17950.82, 12.39, 11.13
12:31:48, 1080.20, 11.89, 541, 872, 1310, 1585, 1776, 1761, 1921, 1889, 6626, 453, 17966.10, 12.37, 11.13
12:31:48, 1072.20, 11.89, 610, 957, 1385, 1660, 1889, 1892, 2123, 2133, 8494, 677, 17950.82, 12.39, 11.14
12:31:49, 1093.80, 11.89, 542, 883, 1297, 1554, 1837, 1784, 1978, 1894, 7433, 517, 17966.10, 12.37, 11.14
12:31:49, 1118.90, 11.88, 546, 914, 1403, 1685, 1831, 1747, 1825, 1732, 5412, 322, 17950.82, 12.39, 11.14
12:31:50, 1130.60, 11.88, 479, 810, 1265, 1555, 1675, 1590, 1655, 1532, 3980, 222, 17966.10, 12.37, 11.13
12:31:50, 1126.80, 11.87, 486, 816, 1263, 1552, 1826, 1765, 1803, 1719, 4756, 268, 17950.82, 12.39, 11.13
12:31:50, 1118.00, 11.87, 531, 879, 1362, 1639, 1770, 1709, 1767, 1679, 4807, 279, 17950.82, 12.39, 11.14
12:31:51, 1100.40, 11.87, 543, 901, 1391, 1708, 1928, 1865, 1960, 1840, 5648, 335, 17920.31, 12.43, 11.14
12:31:51, 1081.80, 11.88, 555, 898, 1347, 1630, 1701, 1689, 1852, 1814, 5653, 378, 17981.40, 12.36, 11.14
12:31:52, 1081.00, 11.88, 693, 1108, 1615, 1909, 2177, 2158, 2360, 2427, 6921, 482, 17981.40, 12.36, 11.14
12:31:52, 1101.30, 11.87, 703, 1122, 1676, 1979, 2111, 2085, 2179, 2171, 6557, 405, 17996.71, 12.34, 11.14
12:31:52, 1106.00, 11.87, 517, 843, 1289, 1567, 1816, 1759, 1839, 1760, 4921, 291, 17966.10, 12.37, 11.13
12:31:53, 1100.80, 11.87, 570, 937, 1435, 1737, 1960, 1924, 1970, 1951, 5590, 319, 18012.05, 12.32, 11.13
12:31:53, 1081.30, 11.87, 596, 943, 1413, 1687, 1802, 1784, 1950, 1939, 4422, 279, 17981.40, 12.36, 11.13
12:31:54, 1067.90, 11.87, 630, 971, 1400, 1670, 2039, 2051, 2275, 2326, 5559, 401, 17981.40, 12.36, 11.13
12:31:54, 1064.40, 11.87, 728, 1113, 1608, 1936, 1970, 1995, 2206, 2226, 4916, 328, 17966.10, 12.37, 11.13
12:31:55, 1068.00, 11.86, 682, 1049, 1521, 1805, 2045, 2068, 2278, 2339, 5330, 362, 18027.40, 12.30, 11.13
12:31:55, 1082.30, 11.86, 720, 1127, 1629, 1958, 2072, 2087, 2277, 2307, 5489, 345, 17996.71, 12.34, 11.13
12:31:55, 1094.80, 11.86, 626, 988, 1467, 1767, 1871, 1850, 1975, 1950, 4525, 264, 17966.10, 12.37, 11.14
12:31:56, 1089.70, 11.86, 572, 919, 1387, 1687, 1946, 1926, 2037, 1993, 5009, 291, 17996.71, 12.34, 11.14
12:31:56, 1070.50, 11.86, 573, 905, 1338, 1615, 1735, 1719, 1898, 1898, 4389, 303, 17966.10, 12.37, 11.14
12:31:57, 1057.20, 11.86, 617, 937, 1335, 1593, 1939, 1967, 2220, 2290, 5690, 502, 18012.05, 12.32, 11.13
12:31:57, 1061.60, 11.86, 840, 1275, 1819, 2131, 2324, 2360, 2570, 2734, 7957, 660, 17981.40, 12.36, 11.13
12:31:57, 1073.10, 11.85, 747, 1160, 1684, 1970, 2123, 2126, 2319, 2380, 7409, 546, 17981.40, 12.36, 11.14
12:31:58, 1075.20, 11.85, 620, 992, 1463, 1750, 1932, 1911, 2106, 2084, 6904, 487, 17950.82, 12.39, 11.14
12:31:58, 1062.00, 11.85, 693, 1089, 1589, 1880, 2088, 2084, 2348, 2378, 8356, 690, 18027.40, 12.30, 11.14
12:31:59, 1050.00, 11.86, 704, 1087, 1529, 1793, 2016, 2040, 2335, 2450, 9331, 1078, 17996.71, 12.34, 11.13
12:31:59, 1051.60, 11.85, 744, 1157, 1645, 1947, 2290, 2291, 2623, 2649, 9729, 895, 17996.71, 12.34, 11.13
12:32:00, 1042.10, 11.85, 767, 1172, 1658, 1951, 2250, 2282, 2634, 2725, 10548, 1259, 17981.40, 12.36, 11.13
12:32:00, 1037.10, 11.85, 875, 1325, 1819, 2114, 2272, 2336, 2722, 2876, 12049, 2083, 17996.71, 12.34, 11.13
12:32:00, 1047.90, 11.85, 904, 1388, 1930, 2271, 2410, 2444, 2820, 2896, 11372, 1262, 18027.40, 12.30, 11.13
12:32:01, 1053.90, 11.85, 760, 1178, 1655, 1954, 2311, 2321, 2674, 2734, 11009, 1121, 17981.40, 12.36, 11.13
12:32:01, 1051.10, 11.85, 819, 1277, 1798, 2125, 2209, 2214, 2556, 2631, 10643, 1113, 18027.40, 12.30, 11.13
12:32:02, 1041.30, 11.85, 844, 1314, 1845, 2188, 2460, 2491, 2871, 2960, 11257, 1234, 17996.71, 12.34, 11.14
12:32:02, 1025.20, 11.85, 867, 1302, 1783, 2081, 2339, 2418, 2826, 3007, 12813, 2609, 18027.40, 12.30, 11.14
12:32:02, 1021.10, 11.85, 974, 1423, 1904, 2207, 2444, 2562, 2995, 3215, 14172, 4781, 18027.40, 12.30, 11.15
