       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
          1 25 May 2023 08:51:17      0.119      0.120    12.6928   0.001287     0.0354 2.1511e+03    336.819    101.586      0.119     0.0067    -0.5776    1457.63 0.0000e+00
          2 25 May 2023 08:51:17      0.119      0.121    12.6927   0.001283     0.0463 2.0785e+03    336.585    101.516      0.119     0.0067    -0.5776    1457.63 0.0000e+00
          3 25 May 2023 08:51:18      0.120      0.121    12.6926   0.001281     0.0334 2.0339e+03    336.775    101.573      0.120     0.0067    -0.5775    1457.63 0.0000e+00
          4 25 May 2023 08:51:18      0.120      0.121    12.6925   0.001282     0.0304 1.9965e+03    336.814    101.585      0.120     0.0067    -0.5775    1457.63 0.0000e+00
          5 25 May 2023 08:51:18      0.121      0.122    12.6924   0.001280     0.0225 1.9186e+03    336.716    101.556      0.121     0.0067    -0.5775    1457.63 0.0000e+00
          6 25 May 2023 08:51:18      0.121      0.122    12.6922   0.001271     0.0265 1.9077e+03    336.741    101.563      0.121     0.0067    -0.5775    1457.63 0.0000e+00
          7 25 May 2023 08:51:18      0.122      0.123    12.6921   0.001260     0.0334 1.9554e+03    336.694    101.548      0.122     0.0067    -0.5775    1457.63 0.0000e+00
          8 25 May 2023 08:51:19      0.122      0.123    12.6919   0.001250     0.0404 1.9580e+03    336.942    101.623      0.122     0.0067    -0.5775    1457.63 0.0000e+00
          9 25 May 2023 08:51:19      0.123      0.124    12.6917   0.001241     0.0195 2.0092e+03    336.773    101.572      0.123     0.0067    -0.5774    1457.63 0.0000e+00
         10 25 May 2023 08:51:19      0.123      0.125    12.6915   0.001235     0.0225 2.0482e+03    336.650    101.534      0.123     0.0067    -0.5774    1457.63 0.0000e+00
         11 25 May 2023 08:51:19      0.124      0.125    12.6913   0.001236     0.0205 2.0541e+03    336.683    101.544      0.124     0.0067    -0.5774    1457.63 0.0000e+00
         12 25 May 2023 08:51:19      0.125      0.126    12.6911   0.001249     0.0175 2.0830e+03    336.938    101.621      0.125     0.0067    -0.5774    1457.63 0.0000e+00
         13 25 May 2023 08:51:21      0.125      0.126    12.6911   0.001258     0.0205 2.0703e+03    336.800    101.580      0.125     0.0067    -0.5774    1457.63 0.0000e+00
         14 25 May 2023 08:51:21      0.125      0.126    12.6910   0.001261     0.0195 2.0514e+03    336.924    101.617      0.125     0.0067    -0.5774    1457.63 0.0000e+00
         15 25 May 2023 08:51:21      0.126      0.127    12.6910   0.001265     0.0255 2.0317e+03    336.962    101.629      0.126     0.0067    -0.5773    1457.63 0.0000e+00
         16 25 May 2023 08:51:21      0.126      0.127    12.6910   0.001263     0.0175 1.9666e+03    336.849    101.596      0.126     0.0067    -0.5774    1457.63 0.0000e+00
         17 25 May 2023 08:51:21      0.126      0.127    12.6910   0.001253     0.0185 1.9384e+03    336.891    101.608      0.126     0.0067    -0.5774    1457.63 0.0000e+00
         18 25 May 2023 08:51:22      0.126      0.128    12.6910   0.001244     0.0136 1.9696e+03    336.977    101.635      0.126     0.0067    -0.5774    1457.63 0.0000e+00
         19 25 May 2023 08:51:22      0.127      0.128    12.6910   0.001240     0.0156 1.9232e+03    336.691    101.549      0.127     0.0067    -0.5774    1457.63 0.0000e+00
         20 25 May 2023 08:51:22      0.127      0.128    12.6911   0.001239     0.0185 1.9346e+03    336.752    101.568      0.127     0.0067    -0.5774    1457.63 0.0000e+00
         21 25 May 2023 08:51:22      0.127      0.128    12.6911   0.001239     0.0215 2.0022e+03    336.829    101.592      0.127     0.0067    -0.5774    1457.63 0.0000e+00
         22 25 May 2023 08:51:22      0.127      0.128    12.6911   0.001240     0.0185 1.9882e+03    336.818    101.589      0.127     0.0067    -0.5774    1457.63 0.0000e+00
         23 25 May 2023 08:51:22      0.127      0.129    12.6910   0.001241    -0.0082 2.0118e+03    336.833    101.594      0.127     0.0067    -0.5774    1457.63 0.0000e+00
         24 25 May 2023 08:51:23      0.127      0.129    12.6909   0.001244     0.0185 2.0189e+03    336.853    101.601      0.127     0.0067    -0.5773    1457.63 0.0000e+00
         25 25 May 2023 08:51:23      0.128      0.129    12.6909   0.001249     0.0215 1.9899e+03    336.759    101.574      0.128     0.0067    -0.5773    1457.63 0.0000e+00
         26 25 May 2023 08:51:23      0.128      0.129    12.6908   0.001253     0.0235 2.0322e+03    336.805    101.587      0.128     0.0067    -0.5773    1457.63 0.0000e+00
         27 25 May 2023 08:51:23      0.128      0.129    12.6907   0.001252     0.0195 2.0079e+03    336.826    101.594      0.128     0.0067    -0.5773    1457.63 0.0000e+00
         28 25 May 2023 08:51:23      0.128      0.129    12.6906   0.001252     0.0235 2.0052e+03    336.800    101.587      0.128     0.0067    -0.5773    1457.62 0.0000e+00
         29 25 May 2023 08:51:25      0.128      0.129    12.6906   0.001254     0.0185 2.0518e+03    336.638    101.538      0.128     0.0067    -0.5773    1457.62 0.0000e+00
         30 25 May 2023 08:51:25      0.128      0.129    12.6907   0.001252     0.0175 2.0658e+03    336.860    101.605      0.128     0.0067    -0.5773    1457.63 0.0000e+00
         31 25 May 2023 08:51:25      0.128      0.129    12.6907   0.001252     0.0185 2.0899e+03    336.919    101.623      0.128     0.0067    -0.5773    1457.63 0.0000e+00
         32 25 May 2023 08:51:25      0.128      0.129    12.6908   0.001256     0.0195 2.1078e+03    336.843    101.601      0.128     0.0067    -0.5773    1457.63 0.0000e+00
         33 25 May 2023 08:51:25      0.128      0.130    12.6910   0.001266     0.0185 2.0976e+03    336.958    101.636      0.128     0.0067    -0.5773    1457.63 0.0000e+00
         34 25 May 2023 08:51:26      0.129      0.130    12.6911   0.001276     0.0156 2.0798e+03    337.069    101.670      0.129     0.0067    -0.5774    1457.63 0.0000e+00
         35 25 May 2023 08:51:26      0.129      0.130    12.6913   0.001281     0.0146 2.0986e+03    336.705    101.561      0.129     0.0067    -0.5774    1457.63 0.0000e+00
         36 25 May 2023 08:51:26      0.129      0.130    12.6915   0.001286     0.0185 2.0830e+03    336.815    101.596      0.129     0.0067    -0.5774    1457.63 0.0000e+00
         37 25 May 2023 08:51:26      0.130      0.131    12.6917   0.001298     0.0205 2.0482e+03    336.941    101.635      0.130     0.0067    -0.5774    1457.63 0.0000e+00
         38 25 May 2023 08:51:26      0.130      0.131    12.6919   0.001310     0.0225 2.0048e+03    336.585    101.530      0.130     0.0067    -0.5775    1457.63 0.0000e+00
         39 25 May 2023 08:51:27      0.130      0.131    12.6921   0.001316     0.0195 1.9952e+03    336.570    101.528      0.130     0.0067    -0.5775    1457.63 0.0000e+00
         40 25 May 2023 08:51:27      0.130      0.131    12.6924   0.001321     0.0185 2.0004e+03    336.622    101.546      0.130     0.0067    -0.5775    1457.63 0.0000e+00
         41 25 May 2023 08:51:27      0.130      0.131    12.6926   0.001332     0.0205 1.9921e+03    336.817    101.601      0.130     0.0067    -0.5775    1457.63 0.0000e+00
         42 25 May 2023 08:51:27      0.130      0.131    12.6929   0.001343     0.0205 2.0171e+03    336.627    101.550      0.130     0.0067    -0.5776    1457.63 0.0000e+00
         43 25 May 2023 08:51:27      0.130      0.131    12.6931   0.001348     0.0235 2.0357e+03    336.708    101.576      0.130     0.0068    -0.5776    1457.63 0.0000e+00
         44 25 May 2023 08:51:27      0.130      0.131    12.6933   0.001351     0.0354 2.0295e+03    336.592    101.541      0.130     0.0068    -0.5776    1457.63 0.0000e+00
         45 25 May 2023 08:51:29      0.130      0.131    12.6934   0.001359     0.0215 2.0313e+03    336.867    101.626      0.130     0.0068    -0.5776    1457.64 0.0000e+00
         46 25 May 2023 08:51:29      0.130      0.132    12.6936   0.001366    -0.0013 2.0644e+03    336.785    101.602      0.130     0.0068    -0.5776    1457.64 0.0000e+00
         47 25 May 2023 08:51:29      0.130      0.132    12.6937   0.001368     0.0215 2.0735e+03    336.704    101.580      0.130     0.0068    -0.5777    1457.64 0.0000e+00
         48 25 May 2023 08:51:29      0.131      0.132    12.6939   0.001371     0.0166 2.0608e+03    336.789    101.610      0.131     0.0068    -0.5777    1457.64 0.0000e+00
         49 25 May 2023 08:51:29      0.131      0.132    12.6941   0.001375     0.0175 2.0771e+03    336.689    101.583      0.131     0.0068    -0.5777    1457.64 0.0000e+00
         50 25 May 2023 08:51:30      0.131      0.132    12.6943   0.001375     0.0245 2.0635e+03    336.761    101.608      0.131     0.0068    -0.5777    1457.64 0.0000e+00
         51 25 May 2023 08:51:30      0.131      0.132    12.6946   0.001375     0.0354 2.1055e+03    336.660    101.579      0.131     0.0068    -0.5778    1457.64 0.0000e+00
         52 25 May 2023 08:51:30      0.131      0.132    12.6950   0.001381     0.0225 2.1202e+03    336.713    101.595      0.131     0.0068    -0.5778    1457.64 0.0000e+00
         53 25 May 2023 08:51:30      0.131      0.132    12.6954   0.001391     0.0166 2.0568e+03    336.626    101.568      0.131     0.0068    -0.5779    1457.64 0.0000e+00
         54 25 May 2023 08:51:30      0.131      0.132    12.6960   0.001403     0.0205 2.0703e+03    336.743    101.602      0.131     0.0068    -0.5779    1457.64 0.0000e+00
         55 25 May 2023 08:51:31      0.131      0.132    12.6966   0.001418     0.0225 2.1059e+03    336.724    101.596      0.131     0.0068    -0.5780    1457.65 0.0000e+00
         56 25 May 2023 08:51:31      0.131      0.132    12.6973   0.001425     0.0294 2.0640e+03    336.495    101.528      0.131     0.0068    -0.5781    1457.65 0.0000e+00
         57 25 May 2023 08:51:31      0.131      0.132    12.6980   0.001414     0.0255 2.1333e+03    336.626    101.568      0.131     0.0068    -0.5782    1457.65 0.0000e+00
         58 25 May 2023 08:51:31      0.130      0.132    12.6986   0.001371     0.0255 2.1567e+03    336.805    101.624      0.130     0.0068    -0.5783    1457.65 0.0000e+00
         59 25 May 2023 08:51:31      0.130      0.132    12.6992   0.001344     0.0175 2.1747e+03    336.607    101.566      0.130     0.0068    -0.5783    1457.66 0.0000e+00
         60 25 May 2023 08:51:31      0.130      0.132    12.7000   0.001393     0.0294 2.1967e+03    336.773    101.617      0.130     0.0068    -0.5784    1457.66 0.0000e+00
         61 25 May 2023 08:51:32      0.130      0.132    12.7007   0.001467     0.0205 2.1497e+03    336.747    101.608      0.130     0.0068    -0.5785    1457.66 0.0000e+00
         62 25 May 2023 08:51:32      0.130      0.132    12.7015   0.001518     0.0185 2.1295e+03    336.733    101.599      0.130     0.0068    -0.5786    1457.67 0.0000e+00
         63 25 May 2023 08:51:32      0.131      0.132    12.7022   0.001557     0.0126 2.1165e+03    336.732    101.593      0.131     0.0068    -0.5787    1457.67 0.0000e+00
         64 25 May 2023 08:51:32      0.131      0.132    12.7031   0.001591     0.0215 2.1342e+03    336.656    101.567      0.131     0.0068    -0.5788    1457.67 0.0000e+00
         65 25 May 2023 08:51:32      0.131      0.133    12.7041   0.001625     0.0215 2.0803e+03    336.773    101.600      0.131     0.0068    -0.5789    1457.67 0.0000e+00
         66 25 May 2023 08:51:34      0.132      0.133    12.7051   0.001659     0.0235 2.1179e+03    336.599    101.548      0.132     0.0069    -0.5790    1457.68 0.0000e+00
         67 25 May 2023 08:51:34      0.132      0.133    12.7061   0.001689     0.0205 2.1468e+03    336.649    101.562      0.132     0.0069    -0.5791    1457.68 0.0000e+00
         68 25 May 2023 08:51:34      0.132      0.133    12.7070   0.001711     0.0344 2.1170e+03    336.627    101.556      0.132     0.0069    -0.5792    1457.69 0.0000e+00
         69 25 May 2023 08:51:34      0.132      0.133    12.7076   0.001725    -0.0003 2.1948e+03    336.492    101.514      0.132     0.0069    -0.5793    1457.69 0.0000e+00
         70 25 May 2023 08:51:34      0.132      0.133    12.7079   0.001730     0.0205 2.1398e+03    336.635    101.557      0.132     0.0069    -0.5793    1457.69 0.0000e+00
         71 25 May 2023 08:51:35      0.132      0.133    12.7081   0.001732     0.0245 2.0944e+03    336.717    101.581      0.132     0.0069    -0.5793    1457.69 0.0000e+00
         72 25 May 2023 08:51:35      0.132      0.133    12.7082   0.001730     0.0235 2.2581e+03    336.789    101.600      0.132     0.0069    -0.5793    1457.69 0.0000e+00
         73 25 May 2023 08:51:35      0.132      0.134    12.7082   0.001725     0.0185 2.2277e+03    336.795    101.600      0.132     0.0069    -0.5794    1457.69 0.0000e+00
         74 25 May 2023 08:51:35      0.132      0.134    12.7084   0.001719     0.0245 2.2068e+03    336.834    101.610      0.132     0.0069    -0.5794    1457.69 0.0000e+00
         75 25 May 2023 08:51:35      0.132      0.134    12.7087   0.001714     0.0205 2.2517e+03    336.799    101.598      0.132     0.0069    -0.5794    1457.69 0.0000e+00
         76 25 May 2023 08:51:36      0.133      0.134    12.7089   0.001712     0.0344 2.1943e+03    336.810    101.598      0.133     0.0069    -0.5794    1457.69 0.0000e+00
         77 25 May 2023 08:51:36      0.133      0.134    12.7090   0.001708     0.0185 2.1464e+03    336.754    101.579      0.133     0.0069    -0.5795    1457.69 0.0000e+00
         78 25 May 2023 08:51:36      0.133      0.134    12.7088   0.001691     0.0304 2.1619e+03    336.681    101.555      0.133     0.0069    -0.5794    1457.69 0.0000e+00
         79 25 May 2023 08:51:36      0.133      0.134    12.7082   0.001659     0.0285 2.0880e+03    336.595    101.526      0.133     0.0069    -0.5794    1457.69 0.0000e+00
         80 25 May 2023 08:51:36      0.133      0.135    12.7073   0.001613     0.0195 2.0958e+03    336.854    101.601      0.133     0.0068    -0.5793    1457.69 0.0000e+00
         81 25 May 2023 08:51:36      0.134      0.135    12.7061   0.001561     0.0166 2.1073e+03    336.772    101.574      0.134     0.0068    -0.5791    1457.68 0.0000e+00
         82 25 May 2023 08:51:38      0.134      0.135    12.7051   0.001513     0.0285 2.1615e+03    336.874    101.603      0.134     0.0068    -0.5790    1457.68 0.0000e+00
         83 25 May 2023 08:51:38      0.134      0.135    12.7043   0.001475     0.0175 2.0880e+03    337.076    101.663      0.134     0.0068    -0.5789    1457.68 0.0000e+00
         84 25 May 2023 08:51:38      0.134      0.135    12.7037   0.001443     0.0146 2.1333e+03    337.115    101.676      0.134     0.0068    -0.5789    1457.67 0.0000e+00
         85 25 May 2023 08:51:38      0.134      0.135    12.7032   0.001423     0.0156 2.1440e+03    336.931    101.621      0.134     0.0068    -0.5788    1457.67 0.0000e+00
         86 25 May 2023 08:51:38      0.133      0.135    12.7028   0.001410     0.0156 2.1170e+03    336.943    101.626      0.133     0.0068    -0.5788    1457.67 0.0000e+00
         87 25 May 2023 08:51:39      0.133      0.135    12.7025   0.001396     0.0195 2.1667e+03    336.811    101.588      0.133     0.0068    -0.5787    1457.67 0.0000e+00
         88 25 May 2023 08:51:39      0.134      0.135    12.7020   0.001380     0.0156 2.1539e+03    336.617    101.530      0.134     0.0068    -0.5787    1457.67 0.0000e+00
         89 25 May 2023 08:51:39      0.134      0.135    12.7015   0.001361     0.0225 2.1572e+03    336.798    101.586      0.134     0.0068    -0.5786    1457.67 0.0000e+00
         90 25 May 2023 08:51:39      0.134      0.135    12.7008   0.001344     0.0066 2.1133e+03    336.846    101.602      0.134     0.0068    -0.5785    1457.66 0.0000e+00
         91 25 May 2023 08:51:39      0.134      0.135    12.7000   0.001335     0.0265 2.0572e+03    336.779    101.583      0.134     0.0068    -0.5784    1457.66 0.0000e+00
         92 25 May 2023 08:51:40      0.133      0.135    12.6992   0.001328     0.0166 2.0604e+03    336.942    101.633      0.133     0.0067    -0.5783    1457.66 0.0000e+00
         93 25 May 2023 08:51:40      0.133      0.134    12.6983   0.001329     0.0185 2.0921e+03    336.748    101.576      0.133     0.0067    -0.5782    1457.65 0.0000e+00
         94 25 May 2023 08:51:40      0.133      0.134    12.6973   0.001354     0.0205 2.1055e+03    336.939    101.634      0.133     0.0068    -0.5781    1457.65 0.0000e+00
         95 25 May 2023 08:51:40      0.133      0.134    12.6963   0.001419     0.0255 2.1567e+03    336.910    101.626      0.133     0.0068    -0.5780    1457.65 0.0000e+00
         96 25 May 2023 08:51:40      0.133      0.134    12.6954   0.001551     0.0304 2.0908e+03    336.888    101.619      0.133     0.0068    -0.5778    1457.64 0.0000e+00
         97 25 May 2023 08:51:40      0.133      0.134    12.6944   0.001795     0.0185 2.1235e+03    336.857    101.607      0.133     0.0069    -0.5776    1457.64 0.0000e+00
         98 25 May 2023 08:51:42      0.133      0.135    12.6935   0.002225     0.0205 2.1483e+03    336.740    101.569      0.133     0.0070    -0.5774    1457.64 0.0000e+00
         99 25 May 2023 08:51:42      0.134      0.135    12.6927   0.002960     0.0195 2.1036e+03    309.702    101.632      0.134     0.0073    -0.5771    1457.63 0.0000e+00
        100 25 May 2023 08:51:42      0.134      0.135    12.6921   0.004204     0.0205 2.1365e+03    279.589    101.651      0.134     0.0079    -0.5766    1457.63 0.0000e+00
        101 25 May 2023 08:51:42      0.135      0.136    12.6918   0.006300     0.0156 2.1286e+03    280.466    101.750      0.135     0.0088    -0.5758    1457.63 0.0000e+00
        102 25 May 2023 08:51:42      0.136      0.137    12.6917   0.009807     0.0255 2.1230e+03    280.992    101.758      0.136     0.0106    -0.5744    1457.63 0.0000e+00
        103 25 May 2023 08:51:43      0.137      0.138    12.6918   0.015663     0.0185 2.1473e+03    305.933    101.917      0.137     0.0136    -0.5720    1457.64 0.0000e+00
        104 25 May 2023 08:51:43      0.138      0.139    12.6920   0.025423     0.0195 2.1240e+03    289.384    102.279      0.138     0.0190    -0.5679    1457.65 0.0000e+00
        105 25 May 2023 08:51:43      0.139      0.141    12.6922   0.041671     0.0225 2.1230e+03    284.412    102.797      0.139     0.0283    -0.5606    1457.66 0.0000e+00
        106 25 May 2023 08:51:43      0.141      0.142    12.6923   0.068724     0.0096 2.1356e+03    286.618    103.569      0.141     0.0443    -0.5481    1457.68 0.0000e+00
        107 25 May 2023 08:51:43      0.143      0.144    12.6922   0.113796     0.0195 2.1036e+03    288.624    104.231      0.143     0.0717    -0.5267    1457.71 0.0000e+00
        108 25 May 2023 08:51:44      0.146      0.147    12.6917   0.188904     0.0146 2.1018e+03    291.305    105.103      0.146     0.1185    -0.4900    1457.77 0.0000e+00
        109 25 May 2023 08:51:44      0.149      0.150    12.6905   0.314070     0.0146 2.1110e+03    293.425    105.783      0.149     0.1985    -0.4274    1457.86 0.0000e+00
        110 25 May 2023 08:51:44      0.153      0.155    12.6881   0.522669     0.0225 2.0433e+03    295.315    106.409      0.153     0.3352    -0.3206    1458.02 0.0000e+00
        111 25 May 2023 08:51:44      0.159      0.160    12.6837   0.870325     0.0324 2.0268e+03    296.724    106.871      0.159     0.5691    -0.1378    1458.29 0.0000e+00
        112 25 May 2023 08:51:44      0.165      0.167    12.6762   1.449727     0.0324 2.0446e+03    297.773    107.229      0.165     0.9703     0.1753    1458.75 0.0000e+00
        113 25 May 2023 08:51:46      0.174      0.176    12.6634   2.415379     0.0106 2.0039e+03    298.284    107.388      0.174     1.6611     0.7134    1459.54 0.0000e+00
        114 25 May 2023 08:51:46      0.186      0.187    12.6418   4.024799     0.0136 2.0109e+03    298.925    107.480      0.186     2.8553     1.6417    1460.91 0.0000e+00
        115 25 May 2023 08:51:46      0.200      0.202    12.6058   6.707170     0.0265 2.0568e+03    299.081    107.423      0.200     4.9292     3.2504    1463.26 0.0000e+00
        116 25 May 2023 08:51:46      0.219      0.221    12.5460  11.177790     0.0225 2.0532e+03    299.188    107.479      0.219     8.5501     6.0536    1467.36 0.0000e+00
        117 25 May 2023 08:51:46      0.243      0.246    12.4492  17.478695     0.0294 2.0572e+03    298.815    107.305      0.243    13.9139    10.2038    1473.37 0.0000e+00
        118 25 May 2023 08:51:46      0.275      0.277    12.3142  23.728519     0.0294 2.0935e+03    298.101    107.050      0.275    19.4943    14.5298    1479.49 0.0000e+00
        119 25 May 2023 08:51:47      0.313      0.316    12.1658  27.895567     0.0195 2.1119e+03    297.212    106.765      0.313    23.3754    17.5523    1483.56 0.0000e+00
        120 25 May 2023 08:51:47      0.358      0.361    12.0337  29.769312     0.0136 2.1277e+03    295.868    106.310      0.358    25.1995    18.9855    1485.27 0.0000e+00
        121 25 May 2023 08:51:47      0.405      0.409    11.9309  30.728161     0.0175 2.1506e+03    294.931    105.985      0.405    26.1684    19.7530    1486.06 0.0000e+00
        122 25 May 2023 08:51:47      0.451      0.456    11.8570  32.185131     0.0294 2.1581e+03    293.374    105.445      0.451    27.5973    20.8725    1487.50 0.0000e+00
        123 25 May 2023 08:51:47      0.495      0.499    11.8046  33.845947     0.0175 2.1417e+03    289.748    104.185      0.495    29.2192    22.1387    1489.25 0.0000e+00
        124 25 May 2023 08:51:48      0.534      0.539    11.7640  34.981102     0.0225 2.1305e+03    288.706    103.836      0.534    30.3409    23.0159    1490.45 0.0000e+00
        125 25 May 2023 08:51:48      0.569      0.574    11.7276  35.651081     0.0126 2.1244e+03    288.425    103.731      0.569    31.0170    23.5471    1491.13 0.0000e+00
        126 25 May 2023 08:51:48      0.600      0.606    11.6917  36.044556     0.0265 9.0055e+02    287.950    103.524      0.600    31.4278    23.8725    1491.50 0.0000e+00
        127 25 May 2023 08:51:48      0.629      0.635    11.6560  36.278297     0.0245 1.0960e+03    286.266    102.904      0.629    31.6848    24.0785    1491.69 0.0000e+00
        128 25 May 2023 08:51:48      0.655      0.661    11.6215  36.421001     0.0245 2.5725e+03    283.368    101.860      0.655    31.8531    24.2154    1491.77 0.0000e+00
        129 25 May 2023 08:51:50      0.678      0.684    11.5888  36.509537     0.0175 1.0615e+03    278.698    100.180      0.678    31.9673    24.3100    1491.79 0.0000e+00
        130 25 May 2023 08:51:50      0.697      0.704    11.5583  36.561893     0.0245 1.1729e+03    273.191     98.186      0.697    32.0446    24.3756    1491.78 0.0000e+00
        131 25 May 2023 08:51:50      0.713      0.719    11.5294  36.583900     0.0175 8.6333e+02    266.836     95.872      0.713    32.0911    24.4169    1491.73 0.0000e+00
        132 25 May 2023 08:51:50      0.724      0.731    11.5022  36.582321     0.0245 9.9980e+02    260.434     93.564      0.724    32.1132    24.4390    1491.67 0.0000e+00
        133 25 May 2023 08:51:50      0.731      0.737    11.4790  36.574486     0.0265 1.4343e+03    254.134     91.305      0.731    32.1257    24.4529    1491.60 0.0000e+00
        134 25 May 2023 08:51:51      0.734      0.740    11.4623  36.570503     0.0205 1.8558e+03    248.993     89.452      0.734    32.1363    24.4641    1491.55 0.0000e+00
        135 25 May 2023 08:51:51      0.735      0.742    11.4536  36.566422     0.0215 1.6462e+03    245.261     88.100      0.735    32.1399    24.4685    1491.53 0.0000e+00
        136 25 May 2023 08:51:51      0.735      0.742    11.4526  36.561516    -0.0152 1.3397e+03    242.999     87.262      0.735    32.1360    24.4656    1491.52 0.0000e+00
        137 25 May 2023 08:51:51      0.736      0.743    11.4578  36.557865     0.0195 1.2812e+03    241.755     86.793      0.736    32.1278    24.4583    1491.53 0.0000e+00
        138 25 May 2023 08:51:51      0.739      0.745    11.4666  36.554790     0.0156 1.3084e+03    240.455     86.318      0.739    32.1173    24.4486    1491.55 0.0000e+00
        139 25 May 2023 08:51:51      0.741      0.748    11.4762  36.553154     0.0245 2.1671e+03    239.335     85.918      0.741    32.1073    24.4391    1491.57 0.0000e+00
        140 25 May 2023 08:51:52      0.745      0.752    11.4854  36.555088     0.0185 1.0950e+03    237.954     85.426      0.745    32.1012    24.4327    1491.59 0.0000e+00
        141 25 May 2023 08:51:52      0.747      0.754    11.4937  36.558491     0.0304 1.9705e+03    236.962     85.075      0.747    32.0973    24.4282    1491.62 0.0000e+00
        142 25 May 2023 08:51:52      0.748      0.755    11.5011  36.556103     0.0146 1.3084e+03    235.700     84.630      0.748    32.0886    24.4200    1491.63 0.0000e+00
        143 25 May 2023 08:51:52      0.748      0.755    11.5074  36.543068     0.0235 1.3257e+03    234.351     84.161      0.748    32.0704    24.4048    1491.63 0.0000e+00
        144 25 May 2023 08:51:52      0.746      0.753    11.5122  36.522663     0.0156 1.9580e+03    232.682     83.599      0.746    32.0463    24.3852    1491.62 0.0000e+00
        145 25 May 2023 08:51:54      0.743      0.750    11.5154  36.502331     0.0146 1.8579e+03    231.666     83.246      0.743    32.0237    24.3670    1491.60 0.0000e+00
        146 25 May 2023 08:51:54      0.741      0.748    11.5171  36.485527     0.0175 1.7971e+03    231.514     83.197      0.741    32.0058    24.3529    1491.59 0.0000e+00
        147 25 May 2023 08:51:54      0.740      0.747    11.5174  36.470676     0.0225 1.7721e+03    232.755     83.622      0.740    31.9911    24.3414    1491.57 0.0000e+00
        148 25 May 2023 08:51:54      0.741      0.747    11.5162  36.455921     0.0136 1.4134e+03    234.880     84.379      0.741    31.9777    24.3312    1491.55 0.0000e+00
        149 25 May 2023 08:51:54      0.742      0.749    11.5138  36.442719     0.0205 1.4571e+03    238.004     85.496      0.742    31.9670    24.3233    1491.53 0.0000e+00
        150 25 May 2023 08:51:55      0.745      0.752    11.5105  36.433887     0.0205 1.3350e+03    241.146     86.619      0.745    31.9612    24.3193    1491.51 0.0000e+00
        151 25 May 2023 08:51:55      0.748      0.754    11.5065  36.429314     0.0136 3.1666e+03    244.054     87.662      0.748    31.9602    24.3193    1491.50 0.0000e+00
        152 25 May 2023 08:51:55      0.750      0.757    11.5014  36.426380     0.0116 1.5413e+03    246.437     88.513      0.750    31.9618    24.3215    1491.48 0.0000e+00
        153 25 May 2023 08:51:55      0.751      0.758    11.4954  36.422108     0.0185 1.7850e+03    247.747     88.979      0.751    31.9627    24.3233    1491.46 0.0000e+00
        154 25 May 2023 08:51:55      0.750      0.757    11.4895  36.415398     0.0175 1.3406e+03    248.059     89.095      0.750    31.9613    24.3232    1491.44 0.0000e+00
        155 25 May 2023 08:51:55      0.747      0.754    11.4846  36.408745     0.0126 1.3826e+03    247.695     88.969      0.747    31.9590    24.3224    1491.42 0.0000e+00
        156 25 May 2023 08:51:56      0.744      0.751    11.4812  36.405312     0.0126 1.3738e+03    246.490     88.558      0.744    31.9586    24.3227    1491.41 0.0000e+00
        157 25 May 2023 08:51:56      0.741      0.748    11.4797  36.405590     0.0126 1.3515e+03    245.039     88.040      0.741    31.9602    24.3242    1491.40 0.0000e+00
        158 25 May 2023 08:51:56      0.740      0.747    11.4800  36.408489     0.0136 1.5229e+03    243.686     87.524      0.740    31.9627    24.3261    1491.41 0.0000e+00
        159 25 May 2023 08:51:56      0.741      0.748    11.4821  36.413383    -0.0201 1.4792e+03    242.240     86.999      0.741    31.9657    24.3280    1491.42 0.0000e+00
        160 25 May 2023 08:51:56      0.743      0.750    11.4855  36.420822     0.0086 1.2269e+03    241.190     86.622      0.743    31.9700    24.3308    1491.44 0.0000e+00
        161 25 May 2023 08:51:57      0.747      0.754    11.4898  36.431473     0.0106 1.4011e+03    240.140     86.245      0.747    31.9768    24.3352    1491.46 0.0000e+00
        162 25 May 2023 08:51:57      0.752      0.759    11.4945  36.442238     0.0225 1.8668e+03    239.377     85.979      0.752    31.9832    24.3393    1491.48 0.0000e+00
        163 25 May 2023 08:51:57      0.756      0.763    11.4993  36.447002     0.0255 1.8783e+03    238.592     85.707      0.756    31.9837    24.3389    1491.50 0.0000e+00
        164 25 May 2023 08:51:57      0.757      0.764    11.5036  36.442856    -0.0003 2.0694e+03    237.997     85.504      0.757    31.9759    24.3321    1491.51 0.0000e+00
        165 25 May 2023 08:51:57      0.757      0.764    11.5069  36.432568     0.0156 1.3047e+03    237.695     85.404      0.757    31.9630    24.3215    1491.50 0.0000e+00
        166 25 May 2023 08:51:59      0.754      0.761    11.5085  36.422459     0.0245 9.8979e+02    237.542     85.361      0.754    31.9518    24.3124    1491.49 0.0000e+00
        167 25 May 2023 08:51:59      0.751      0.758    11.5083  36.416428     0.0146 1.2692e+03    237.642     85.416      0.751    31.9460    24.3080    1491.49 0.0000e+00
